"","yrs","total","category"
"1",2024-01-01,3639,"sdoh"
"2",2023-01-01,6844,"sdoh"
"3",2022-01-01,6884,"sdoh"
"4",2021-01-01,6130,"sdoh"
"5",2020-01-01,5064,"sdoh"
"6",2019-01-01,3899,"sdoh"
"7",2018-01-01,3320,"sdoh"
"8",2017-01-01,2750,"sdoh"
"9",2016-01-01,2357,"sdoh"
"10",2015-01-01,2038,"sdoh"
"11",2014-01-01,1797,"sdoh"
"12",2013-01-01,1325,"sdoh"
"13",2012-01-01,1001,"sdoh"
"14",2011-01-01,906,"sdoh"
"15",2010-01-01,774,"sdoh"
"16",2009-01-01,671,"sdoh"
"17",2008-01-01,555,"sdoh"
"18",2007-01-01,483,"sdoh"
"19",2006-01-01,428,"sdoh"
"20",2005-01-01,364,"sdoh"
"21",2004-01-01,294,"sdoh"
"22",2003-01-01,249,"sdoh"
"23",2002-01-01,242,"sdoh"
"24",2001-01-01,190,"sdoh"
"25",2000-01-01,216,"sdoh"
"26",1999-01-01,174,"sdoh"
"27",1998-01-01,184,"sdoh"
"28",1997-01-01,198,"sdoh"
"29",1996-01-01,175,"sdoh"
"30",1995-01-01,143,"sdoh"
"31",1994-01-01,141,"sdoh"
"32",1993-01-01,148,"sdoh"
"33",1992-01-01,131,"sdoh"
"34",1991-01-01,133,"sdoh"
"35",1990-01-01,95,"sdoh"
"36",1989-01-01,79,"sdoh"
"37",1988-01-01,68,"sdoh"
"38",1987-01-01,54,"sdoh"
"39",1986-01-01,44,"sdoh"
"40",1985-01-01,46,"sdoh"
"41",1984-01-01,56,"sdoh"
"42",1983-01-01,46,"sdoh"
"43",1982-01-01,24,"sdoh"
"44",1981-01-01,23,"sdoh"
"45",1980-01-01,31,"sdoh"
"46",1979-01-01,16,"sdoh"
"47",1978-01-01,19,"sdoh"
"48",1977-01-01,9,"sdoh"
"49",1976-01-01,8,"sdoh"
"50",1975-01-01,8,"sdoh"
"51",1974-01-01,6,"sdoh"
"52",1973-01-01,10,"sdoh"
"53",1972-01-01,2,"sdoh"
"54",1971-01-01,4,"sdoh"
"55",1970-01-01,1,"sdoh"
"56",1969-01-01,4,"sdoh"
"57",1968-01-01,3,"sdoh"
"58",1967-01-01,2,"sdoh"
"59",1966-01-01,4,"sdoh"
"60",1965-01-01,1,"sdoh"
"61",1961-01-01,1,"sdoh"
"62",2024-01-01,30,"riskEnv"
"63",2023-01-01,63,"riskEnv"
"64",2022-01-01,61,"riskEnv"
"65",2021-01-01,64,"riskEnv"
"66",2020-01-01,67,"riskEnv"
"67",2019-01-01,42,"riskEnv"
"68",2018-01-01,45,"riskEnv"
"69",2017-01-01,39,"riskEnv"
"70",2016-01-01,44,"riskEnv"
"71",2015-01-01,44,"riskEnv"
"72",2014-01-01,37,"riskEnv"
"73",2013-01-01,33,"riskEnv"
"74",2012-01-01,29,"riskEnv"
"75",2011-01-01,32,"riskEnv"
"76",2010-01-01,17,"riskEnv"
"77",2009-01-01,24,"riskEnv"
"78",2008-01-01,21,"riskEnv"
"79",2007-01-01,11,"riskEnv"
"80",2006-01-01,16,"riskEnv"
"81",2005-01-01,15,"riskEnv"
"82",2004-01-01,6,"riskEnv"
"83",2003-01-01,10,"riskEnv"
"84",2002-01-01,6,"riskEnv"
"85",2001-01-01,8,"riskEnv"
"86",2000-01-01,5,"riskEnv"
"87",1999-01-01,7,"riskEnv"
"88",1998-01-01,4,"riskEnv"
"89",1997-01-01,2,"riskEnv"
"90",1996-01-01,5,"riskEnv"
"91",1995-01-01,2,"riskEnv"
"92",1994-01-01,1,"riskEnv"
"93",1993-01-01,2,"riskEnv"
"94",1991-01-01,3,"riskEnv"
"95",1990-01-01,4,"riskEnv"
"96",1988-01-01,2,"riskEnv"
"97",1986-01-01,1,"riskEnv"
"98",1985-01-01,2,"riskEnv"
"99",1984-01-01,3,"riskEnv"
"100",1983-01-01,1,"riskEnv"
"101",1982-01-01,1,"riskEnv"
"102",2024-01-01,444,"intSct"
"103",2023-01-01,824,"intSct"
"104",2022-01-01,833,"intSct"
"105",2021-01-01,570,"intSct"
"106",2020-01-01,362,"intSct"
"107",2019-01-01,310,"intSct"
"108",2018-01-01,218,"intSct"
"109",2017-01-01,140,"intSct"
"110",2016-01-01,126,"intSct"
"111",2015-01-01,68,"intSct"
"112",2014-01-01,54,"intSct"
"113",2013-01-01,43,"intSct"
"114",2012-01-01,23,"intSct"
"115",2011-01-01,24,"intSct"
"116",2010-01-01,13,"intSct"
"117",2009-01-01,10,"intSct"
"118",2008-01-01,2,"intSct"
"119",2006-01-01,3,"intSct"
"120",2005-01-01,3,"intSct"
"121",2004-01-01,2,"intSct"
"122",2000-01-01,1,"intSct"
"123",1999-01-01,2,"intSct"
"124",1997-01-01,2,"intSct"
"125",1994-01-01,1,"intSct"
"126",2024-01-01,342,"Exps"
"127",2023-01-01,578,"Exps"
"128",2022-01-01,528,"Exps"
"129",2021-01-01,394,"Exps"
"130",2020-01-01,261,"Exps"
"131",2019-01-01,183,"Exps"
"132",2018-01-01,156,"Exps"
"133",2017-01-01,118,"Exps"
"134",2016-01-01,95,"Exps"
"135",2015-01-01,71,"Exps"
"136",2014-01-01,62,"Exps"
"137",2013-01-01,40,"Exps"
"138",2012-01-01,28,"Exps"
"139",2011-01-01,24,"Exps"
"140",2010-01-01,2,"Exps"
"141",2009-01-01,1,"Exps"
"142",2005-01-01,1,"Exps"
"143",2024-01-01,21,"funDm"
"144",2023-01-01,42,"funDm"
"145",2022-01-01,34,"funDm"
"146",2021-01-01,32,"funDm"
"147",2020-01-01,26,"funDm"
"148",2019-01-01,16,"funDm"
"149",2018-01-01,18,"funDm"
"150",2017-01-01,16,"funDm"
"151",2016-01-01,12,"funDm"
"152",2015-01-01,12,"funDm"
"153",2014-01-01,18,"funDm"
"154",2013-01-01,16,"funDm"
"155",2012-01-01,12,"funDm"
"156",2011-01-01,8,"funDm"
"157",2010-01-01,13,"funDm"
"158",2009-01-01,10,"funDm"
"159",2008-01-01,8,"funDm"
"160",2007-01-01,14,"funDm"
"161",2006-01-01,6,"funDm"
"162",2005-01-01,3,"funDm"
"163",2004-01-01,5,"funDm"
"164",2003-01-01,5,"funDm"
"165",2002-01-01,4,"funDm"
"166",2001-01-01,2,"funDm"
"167",2000-01-01,3,"funDm"
"168",1999-01-01,4,"funDm"
"169",1997-01-01,1,"funDm"
"170",1996-01-01,1,"funDm"
"171",1995-01-01,1,"funDm"
"172",1994-01-01,3,"funDm"
"173",1992-01-01,2,"funDm"
"174",1991-01-01,3,"funDm"
"175",1990-01-01,3,"funDm"
"176",1989-01-01,2,"funDm"
"177",1986-01-01,1,"funDm"
"178",1985-01-01,4,"funDm"
"179",1983-01-01,1,"funDm"
"180",1981-01-01,1,"funDm"
"181",1980-01-01,2,"funDm"
"182",1979-01-01,1,"funDm"
"183",1946-01-01,1,"funDm"
"184",2024-01-01,87,"poleco"
"185",2023-01-01,145,"poleco"
"186",2022-01-01,156,"poleco"
"187",2021-01-01,179,"poleco"
"188",2020-01-01,160,"poleco"
"189",2019-01-01,143,"poleco"
"190",2018-01-01,109,"poleco"
"191",2017-01-01,87,"poleco"
"192",2016-01-01,107,"poleco"
"193",2015-01-01,80,"poleco"
"194",2014-01-01,70,"poleco"
"195",2013-01-01,49,"poleco"
"196",2012-01-01,45,"poleco"
"197",2011-01-01,31,"poleco"
"198",2010-01-01,42,"poleco"
"199",2009-01-01,31,"poleco"
"200",2008-01-01,30,"poleco"
"201",2007-01-01,37,"poleco"
"202",2006-01-01,23,"poleco"
"203",2005-01-01,18,"poleco"
"204",2004-01-01,23,"poleco"
"205",2003-01-01,24,"poleco"
"206",2002-01-01,12,"poleco"
"207",2001-01-01,11,"poleco"
"208",2000-01-01,20,"poleco"
"209",1999-01-01,16,"poleco"
"210",1998-01-01,11,"poleco"
"211",1997-01-01,6,"poleco"
"212",1996-01-01,15,"poleco"
"213",1995-01-01,12,"poleco"
"214",1994-01-01,16,"poleco"
"215",1993-01-01,16,"poleco"
"216",1992-01-01,20,"poleco"
"217",1991-01-01,12,"poleco"
"218",1990-01-01,10,"poleco"
"219",1989-01-01,11,"poleco"
"220",1988-01-01,6,"poleco"
"221",1987-01-01,7,"poleco"
"222",1986-01-01,26,"poleco"
"223",1985-01-01,18,"poleco"
"224",1984-01-01,13,"poleco"
"225",1983-01-01,11,"poleco"
"226",1982-01-01,3,"poleco"
"227",1981-01-01,1,"poleco"
"228",1980-01-01,2,"poleco"
"229",1978-01-01,3,"poleco"
"230",1977-01-01,3,"poleco"
"231",1976-01-01,2,"poleco"
"232",1975-01-01,1,"poleco"
"233",1974-01-01,5,"poleco"
"234",1973-01-01,3,"poleco"
"235",1971-01-01,2,"poleco"
"236",1969-01-01,1,"poleco"
"237",1968-01-01,1,"poleco"
"238",2024-01-01,163,"salut"
"239",2023-01-01,316,"salut"
"240",2022-01-01,433,"salut"
"241",2021-01-01,350,"salut"
"242",2020-01-01,326,"salut"
"243",2019-01-01,269,"salut"
"244",2018-01-01,259,"salut"
"245",2017-01-01,265,"salut"
"246",2016-01-01,303,"salut"
"247",2015-01-01,266,"salut"
"248",2014-01-01,258,"salut"
"249",2013-01-01,223,"salut"
"250",2012-01-01,217,"salut"
"251",2011-01-01,202,"salut"
"252",2010-01-01,138,"salut"
"253",2009-01-01,124,"salut"
"254",2008-01-01,112,"salut"
"255",2007-01-01,104,"salut"
"256",2006-01-01,98,"salut"
"257",2005-01-01,85,"salut"
"258",2004-01-01,68,"salut"
"259",2003-01-01,70,"salut"
"260",2002-01-01,52,"salut"
"261",2001-01-01,47,"salut"
"262",2000-01-01,43,"salut"
"263",1999-01-01,45,"salut"
"264",1998-01-01,35,"salut"
"265",1997-01-01,25,"salut"
"266",1996-01-01,33,"salut"
"267",1995-01-01,17,"salut"
"268",1994-01-01,19,"salut"
"269",1993-01-01,13,"salut"
"270",1992-01-01,13,"salut"
"271",1991-01-01,6,"salut"
"272",1990-01-01,11,"salut"
"273",1989-01-01,4,"salut"
"274",1988-01-01,3,"salut"
"275",1987-01-01,1,"salut"
"276",1986-01-01,1,"salut"
"277",1985-01-01,2,"salut"
"278",1984-01-01,2,"salut"
"279",1983-01-01,2,"salut"
"280",1980-01-01,1,"salut"
"281",1977-01-01,1,"salut"
"282",1975-01-01,2,"salut"
